1,0#851.1,667.7;851.1,588.9;827.4,644.0;772.3,648.0;752.6,730.7;764.4,825.3;799.8,644.0;788.0,506.2;788.0,510.1;784.1,443.1;827.4,407.7;839.2,451.0;827.4,502.2;744.7,506.2;764.4,478.6;799.8,419.5
81,0#498.0,484.6;504.3,446.7;561.2,402.4;507.4,405.6;482.1,478.3;482.1,560.5;532.7,405.6;526.4,285.4;526.4,272.8;515.4,226.9;608.6,310.7;605.5,336.0;577.0,288.6;475.8,282.2;425.2,291.7;428.4,266.4
82,0#484.5,548.5;528.6,472.9;569.5,403.6;509.7,403.6;478.2,466.6;478.2,551.6;534.9,403.6;528.6,280.7;528.6,268.1;520.7,225.6;582.1,353.2;610.5,340.6;582.1,283.9;478.2,280.7;427.8,305.9;430.9,280.7
83,0#522.3,491.9;553.2,423.8;571.7,396.0;516.1,392.9;475.9,439.3;482.1,532.1;543.9,396.0;531.5,278.5;531.5,266.2;523.8,205.9;608.8,315.6;630.5,328.0;584.1,281.6;482.1,275.4;432.6,315.6;420.2,306.4
84,0#525.4,505.3;558.6,426.8;579.7,387.6;522.4,381.6;477.1,411.8;480.2,505.3;549.6,387.6;540.5,276.0;537.5,257.9;533.0,205.1;612.9,309.2;649.1,312.2;594.8,276.0;486.2,276.0;447.0,324.2;437.9,309.2
85,0#529.6,525.9;558.4,442.8;584.0,394.8;542.4,391.6;481.6,378.8;488.0,465.2;558.4,394.8;545.6,270.0;545.6,254.0;537.6,194.8;628.8,289.2;660.8,289.2;603.2,270.0;491.2,273.2;459.2,327.6;443.2,321.2
86,0#532.4,541.7;566.9,462.2;577.3,386.1;528.9,372.2;494.3,355.0;508.1,417.2;549.6,379.2;549.6,261.6;549.6,247.7;541.0,187.2;643.0,227.0;670.7,258.1;605.0,254.6;490.8,268.5;459.7,330.7;442.4,341.1
87,0#539.6,559.8;568.7,468.7;568.7,381.3;517.8,370.4;488.6,348.5;528.7,556.1;543.3,377.7;550.5,253.8;550.5,239.2;556.0,171.9;658.0,179.1;659.8,228.3;601.5,242.9;495.9,261.1;463.1,315.7;452.2,344.9
88,0#549.1,555.9;567.7,462.9;571.4,373.7;511.9,362.5;560.3,451.8;578.9,470.4;541.7,370.0;552.8,243.5;552.8,236.1;562.1,163.6;673.7,171.0;657.0,202.6;601.2,236.1;497.0,251.0;445.0,299.3;452.4,329.0
89,0#551.1,536.7;579.7,454.5;565.4,368.6;508.1,361.5;561.8,415.1;608.3,468.8;536.8,365.1;551.1,232.7;551.1,229.2;567.2,166.6;669.1,186.3;658.3,218.4;601.1,225.6;497.4,239.9;433.0,272.1;458.1,286.4
90,0#568.0,505.2;595.0,423.6;570.1,361.3;515.4,359.8;563.7,417.3;606.7,476.7;543.1,360.9;555.7,230.3;556.3,225.2;571.8,164.2;672.4,204.3;659.7,231.2;605.7,227.0;503.4,232.6;442.5,256.0;470.5,260.1
91,0#584.9,473.7;610.3,392.7;574.8,354.1;522.8,358.0;565.6,419.5;605.2,484.6;549.4,356.7;560.3,227.9;561.5,221.2;576.4,161.9;675.7,222.4;661.0,244.0;610.3,228.4;509.3,225.2;451.9,239.8;482.8,233.8
92,0#601.9,442.2;625.7,361.8;579.4,346.8;530.1,356.3;567.4,421.7;603.6,492.5;555.7,352.4;564.9,225.6;566.7,217.1;581.1,159.5;679.0,240.4;662.4,256.8;614.8,229.7;515.3,217.9;461.4,223.7;495.2,207.4
93,0#618.8,410.7;641.0,330.9;584.1,339.6;537.5,354.5;569.3,423.9;602.1,500.4;562.0,348.2;569.5,223.2;571.9,213.1;585.7,157.2;682.3,258.5;663.7,269.6;619.4,231.1;521.2,210.5;470.8,207.5;507.5,181.1
94,0#635.7,379.2;656.3,300.0;588.8,332.3;544.8,352.8;571.2,426.1;600.5,508.3;568.3,344.0;574.1,220.8;577.1,209.1;590.3,154.8;685.6,276.5;665.1,282.4;624.0,232.5;527.2,203.2;480.3,191.4;519.9,154.8
95,0#621.3,340.3;637.4,269.1;598.6,320.9;550.1,330.6;572.7,421.1;592.1,511.7;576.0,327.3;579.2,210.9;582.4,204.4;603.5,147.8;692.4,295.0;673.0,285.3;631.0,227.1;533.9,191.5;475.7,204.4;517.8,178.6
96,0#691.7,316.0;638.6,262.8;605.3,319.3;558.8,329.3;575.4,422.4;592.0,505.5;582.0,322.6;588.7,209.6;592.0,196.3;610.3,144.8;695.1,309.3;678.4,276.1;641.9,222.9;538.8,189.7;482.3,219.6;508.9,199.6
97,0#597.6,499.4;580.4,413.3;607.9,327.2;556.3,330.6;576.9,413.3;594.2,499.4;583.8,327.2;597.6,206.6;601.1,196.3;623.5,136.0;701.0,303.1;690.6,265.2;649.3,216.9;552.8,192.8;501.1,230.7;487.4,230.7
98,0#657.9,371.1;667.9,290.8;614.4,314.2;567.5,324.3;584.2,414.6;597.6,498.3;590.9,317.6;607.7,203.7;611.0,190.3;639.5,138.5;704.8,284.1;718.1,260.6;657.9,217.1;560.8,193.7;497.2,233.9;513.9,223.8
99,0#659.4,417.5;673.9,333.9;623.1,312.1;572.2,315.8;586.8,413.8;597.7,501.0;597.7,312.1;626.7,206.8;626.7,192.2;650.3,128.7;713.9,243.1;739.3,246.7;677.6,214.0;572.2,195.9;503.2,217.7;528.6,228.6
100,0#661.7,477.8;679.1,380.1;640.7,324.2;581.4,327.7;588.3,428.9;591.8,516.3;609.3,327.7;630.3,208.9;633.7,195.0;653.0,151.3;714.1,212.4;759.5,226.4;682.6,219.4;581.4,198.5;508.0,212.4;560.4,208.9
101,0#668.9,523.0;673.1,433.8;647.6,348.8;592.4,348.8;588.1,442.3;583.9,535.8;622.1,348.8;643.4,217.0;643.4,208.5;673.1,144.8;728.4,161.8;758.1,204.3;694.4,217.0;588.1,208.5;520.1,204.3;558.4,170.3
102,0#660.9,555.7;669.4,466.5;656.6,368.8;605.6,364.5;588.7,458.0;563.2,551.4;635.4,368.8;652.4,228.6;648.1,228.6;677.9,160.6;741.6,143.6;741.6,190.3;699.1,228.6;601.4,220.1;550.4,194.6;575.9,147.9
103,0#647.1,579.9;667.6,489.8;675.8,395.5;622.6,383.2;589.8,481.6;552.9,575.8;647.1,391.4;659.4,248.0;659.4,252.1;671.7,182.4;731.1,139.4;733.2,202.9;704.5,248.0;614.4,243.9;577.5,207.0;585.7,157.9
